Datetime,Open,High,Low,Close,Volume
2011-06-10 23:17:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:18:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:19:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:20:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:21:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:22:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:23:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:24:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:25:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:26:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:27:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:28:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:29:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:30:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:31:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:32:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:33:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:34:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:35:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:36:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:37:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:38:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:39:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:40:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:41:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:42:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:43:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:44:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:45:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:46:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:47:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:48:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:49:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:50:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:51:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:52:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:53:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:54:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:55:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:56:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:57:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:58:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-10 23:59:00,1.43468,1.43468,1.43468,1.43468,0.0
2011-06-11 00:00:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:01:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:02:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:03:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:04:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:05:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:06:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:07:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:08:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:09:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:10:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:11:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:12:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:13:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:14:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:15:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:16:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:17:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:18:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:19:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:20:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:21:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:22:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:23:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:24:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:25:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:26:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:27:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:28:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:29:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:30:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:31:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:32:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:33:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:34:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:35:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:36:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:37:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:38:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:39:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:40:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:41:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:42:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:43:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:44:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:45:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:46:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:47:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:48:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:49:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:50:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:51:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:52:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:53:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:54:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:55:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:56:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:57:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:58:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 00:59:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:00:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:01:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:02:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:03:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:04:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:05:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:06:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:07:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:08:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:09:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:10:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:11:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:12:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:13:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:14:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:15:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:16:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:17:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:18:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:19:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:20:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:21:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:22:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:23:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:24:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:25:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:26:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:27:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:28:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:29:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:30:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:31:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:32:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:33:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:34:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:35:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:36:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:37:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:38:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:39:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:40:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:41:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:42:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:43:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:44:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:45:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:46:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:47:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:48:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:49:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:50:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:51:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:52:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:53:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:54:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:55:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:56:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:57:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:58:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 01:59:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:00:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:01:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:02:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:03:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:04:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:05:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:06:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:07:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:08:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:09:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:10:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:11:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:12:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:13:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:14:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:15:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:16:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:17:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:18:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:19:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:20:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:21:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:22:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:23:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:24:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:25:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:26:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:27:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:28:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:29:00,1.43454,1.43454,1.43454,1.43454,0.0
2011-06-11 02:30:00,1.43454,1.43454,1.43454,1.43454,0.0
